transaction_id,transaction_date,vendor_id,amount,transaction_type,payment_mode,reference_number,approved_by,approval_status,amount_zscore,duplicate_flag,approval_flag,amount_anomaly_flag,audit_risk_flag,vendor_name,vendor_risk_rating,month
1,2025-05-17,47,262009,Payment,RTGS,b6b4b2ec-7911-43f6-a916-cf64f2478730,28,Approved,1.3228133035868268,False,False,False,False,Wong and Sons,Medium,2025-05
2,2025-05-12,94,191240,Payment,NEFT,8202e1c9-db67-4544-b2d4-e1f157312c17,39,Approved,0.4867964592532185,False,False,False,False,Taylor-Ware,Low,2025-05
3,2025-01-09,10,188675,Invoice,UPI,86969160-5de2-4bac-bd7d-e20fe7372888,28,Pending,0.4564952934077818,False,True,False,True,Young LLC,Low,2025-01
4,2025-09-20,7,114575,Invoice,NEFT,453d6d9f-f2a2-42c4-b313-c50f19f07f3a,3,Approved,-0.4188717199048321,False,False,False,False,Ferguson LLC,Low,2025-09
5,2025-10-17,59,68230,Invoice,RTGS,965bfbb6-d360-4a97-80f8-6cd5c0f359a7,47,Approved,-0.9663600361257916,False,False,False,False,Gonzalez LLC,Low,2025-10
6,2025-05-31,51,160232,Payment,UPI,fb3affae-f467-40b6-9302-43d06e915ea6,8,Approved,0.12048903214394,False,False,False,False,Moore-George,High,2025-05
7,2025-06-24,96,211111,Payment,RTGS,fcdb96fc-80e9-4f40-87e8-535c590aed32,43,Rejected,0.7215389413252151,False,True,False,True,"Wilson, Garza and Miller",Low,2025-06
8,2025-02-19,37,126300,Payment,UPI,d611d957-f989-4a2a-ab58-dd64188206e7,48,Approved,-0.2803605426971344,False,False,False,False,"Miller, Robinson and Curtis",Medium,2025-02
9,2025-07-25,74,259726,Invoice,UPI,fe32a996-7107-4c90-93cc-134befbc698f,21,Approved,1.2958434939863854,False,False,False,False,"Johnson, Kirk and Allen",Low,2025-07
10,2025-11-19,19,149931,Invoice,RTGS,6ae76fc2-61c2-4366-bea7-ab162b1778c8,2,Pending,-0.0011999773585327,False,True,False,True,Williams-Miller,Medium,2025-11
11,2025-11-08,69,92955,Invoice,RTGS,7d980587-4e04-4a39-885a-91f2de42a9af,2,Approved,-0.6742756986878107,False,False,False,False,Bryant-Williams,Low,2025-11
12,2025-02-19,12,19596,Invoice,RTGS,33d846f6-f297-43d4-a0e6-eb7274fb7e42,30,Approved,-1.5408890418672985,False,False,False,False,Moreno-Le,Medium,2025-02
13,2025-07-08,53,143155,Invoice,RTGS,b8d0b6a6-3479-41b5-9b51-4a0b15d9c21c,22,Approved,-0.0812470337985634,False,False,False,False,"Lambert, Schwartz and Newman",Medium,2025-07
14,2025-06-30,81,261713,Payment,UPI,ce965652-ee00-47ab-aeeb-9064309ec940,46,Approved,1.319316560861583,False,False,False,False,"Parker, Pope and Dominguez",Low,2025-06
15,2025-08-02,96,187992,Payment,UPI,fd1db24d-ff27-41ee-a9c5-af064c8b64ad,17,Approved,0.4484267958356831,False,False,False,False,"Wilson, Garza and Miller",Low,2025-08
16,2025-04-20,40,242804,Invoice,UPI,4d2054a0-5512-42a3-8b67-e97a9d312d69,9,Approved,1.0959384926466278,False,False,False,False,"Wyatt, Hunt and Smith",Medium,2025-04
17,2025-01-01,4,243009,Invoice,NEFT,7d627f43-f9ac-47f6-b6c9-fb740ef2d44d,34,Approved,1.0983602232502592,False,False,False,False,Pierce PLC,Low,2025-01
18,2025-06-30,75,193456,Payment,RTGS,e69c0675-8318-4512-b328-e25eccc63355,17,Approved,0.5129747764124729,False,False,False,False,"Bauer, Oconnell and Schmidt",High,2025-06
19,2025-04-29,76,6622,Invoice,RTGS,e58ca562-b88b-4ef9-b146-92a4ae040174,22,Approved,-1.694155055777121,False,False,False,False,"Gordon, Hawkins and Schaefer",Low,2025-04
20,2025-11-17,57,86182,Payment,UPI,5a2f65b9-d845-4016-bf7c-41b399d501dc,40,Approved,-0.7542873151677881,False,False,False,False,"Fox, Soto and Robertson",Medium,2025-11
21,2025-01-14,53,229137,Invoice,NEFT,c23648e9-a9d1-4389-9441-f78b8f698110,26,Approved,0.9344858479645292,False,False,False,False,"Lambert, Schwartz and Newman",Medium,2025-01
22,2024-12-21,62,172469,Payment,RTGS,6d3dcd30-074a-482e-85bb-80752af17db3,43,Approved,0.2650486292007074,False,False,False,False,Velasquez-Bartlett,Medium,2024-12
